AAPL,MKS.L,AMZN,BP.L
122.41000366210938,129.64999389648438,3116.419921875,275.25
122.41000366210938,129.64999389648438,3116.419921875,275.25
122.41000366210938,129.64999389648438,3116.419921875,275.25
121.77999877929688,134.75,3156.969970703125,269.75
127.87999725341797,137.14999389648438,3165.1201171875,270.75
127.80999755859375,138.64999389648438,3240.9599609375,272.6000061035156
128.6999969482422,139.14999389648438,3236.080078125,269.3500061035156
126.66000366210938,133.60000610351562,3201.64990234375,271.3500061035156
126.66000366210938,133.60000610351562,3201.64990234375,271.3500061035156
126.66000366210938,133.60000610351562,3201.64990234375,271.3500061035156
128.22999572753906,128.85000610351562,3206.179931640625,258.04998779296875
131.8800048828125,131.64999389648438,3206.52001953125,258.54998779296875
130.9600067138672,138.39999389648438,3185.27001953125,265.75
131.97000122070312,138.60000610351562,3172.68994140625,263.0
131.97000122070312,138.60000610351562,3172.68994140625,263.0
131.97000122070312,138.60000610351562,3172.68994140625,263.0
131.97000122070312,138.60000610351562,3172.68994140625,263.0
136.69000244140625,138.60000610351562,3283.9599609375,263.0
134.8699951171875,140.85000610351562,3322.0,262.3500061035156
133.72000122070312,138.1999969482422,3285.85009765625,259.3999938964844
132.69000244140625,136.3000030517578,3256.929931640625,254.8000030517578
132.69000244140625,136.3000030517578,3256.929931640625,254.8000030517578
132.69000244140625,136.3000030517578,3256.929931640625,254.8000030517578
132.69000244140625,136.3000030517578,3256.929931640625,254.8000030517578
