AAPL,AMZN,BP.L
111.00847625732422,3162.780029296875,188.57504272460938
115.12138366699219,3211.010009765625,188.59454345703125
108.67251586914062,3036.14990234375,191.65557861328125
108.67251586914062,3036.14990234375,191.65557861328125
108.67251586914062,3036.14990234375,191.65557861328125
108.5826644897461,3004.47998046875,200.03927612304688
110.24979400634766,3048.409912109375,204.66981506347656
114.75202178955078,3241.159912109375,203.5
118.82499694824219,3322.0,200.64999389648438
118.69000244140625,3311.3701171875,199.86000061035156
118.69000244140625,3311.3701171875,199.86000061035156
118.69000244140625,3311.3701171875,199.86000061035156
116.31999969482422,3143.739990234375,229.9499969482422
115.97000122070312,3035.02001953125,241.6999969482422
119.48999786376953,3137.389892578125,243.0500030517578
119.20999908447266,3110.280029296875,237.8000030517578
119.26000213623047,3128.81005859375,236.89999389648438
119.26000213623047,3128.81005859375,236.89999389648438
119.26000213623047,3128.81005859375,236.89999389648438
120.30000305175781,3131.06005859375,250.75
119.38999938964844,3135.659912109375,251.6999969482422
118.02999877929688,3105.4599609375,251.9499969482422
118.63999938964844,3117.02001953125,243.75
118.48400115966797,3123.93994140625,244.5
